cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,provider_name,state_abbr,city,zip5,street_address,closeout_action,census_candidate_status,census_match_type,census_matched_address,census_candidate_score,census_attempt_label,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
254012,2023,assign_county,28047,"Harrison County, Mississippi",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Harrison County, Mississippi (28047) for provider 254012 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,OCEANS BEHAVIORAL HOSPITAL BILOXI,MS,BILOXI,39531,180 DEBUYS ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"180 DEBUYS RD, BILOXI, MS, 39531",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
234042,2023,assign_county,26099,"Macomb County, Michigan",0.89,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Macomb County, Michigan (26099) for provider 234042 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,BEHAVIORAL CENTER OF MICHIGAN,MI,WARREN,48092,4050 EAST 12 MILE RD,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"4050 12 MILE RD, WARREN, MI, 48092",0.88,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97,False
170208,2023,assign_county,20091,"Johnson County, Kansas",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Johnson County, Kansas (20091) for provider 170208 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,ADVENTHEALTH SOUTH OVERLAND PARK,KS,OVERLAND PARK,66223,7820 W 165TH ST,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"7820 W 165TH ST, OVERLAND PARK, KS, 66223",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
033039,2023,assign_county,04013,"Maricopa County, Arizona",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Maricopa County, Arizona (04013) for provider 033039 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,COBALT REHAB HOSPITAL SURPRISE,AZ,SURPRISE,85378,13060 WEST BELL ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"13060 W BELL RD, SURPRISE, AZ, 85378",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
190116,2024,assign_county,22067,"Morehouse Parish, Louisiana",0.84,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Morehouse Parish, Louisiana (22067) for provider 190116 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,MOREHOUSE GENERAL HOSPITAL,LA,BASTROP,71121,323 W. WALNUT STREET,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"323 W WALNUT AVE, BASTROP, LA, 71220",0.8,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
063037,2023,assign_county,08059,"Jefferson County, Colorado",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Jefferson County, Colorado (08059) for provider 063037 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,PAM SPEC. HOSPITAL OF WESTMINSTER,CO,WESTMINSTER,80020,6500 WEST 104TH AVE,spot_check_same_city_candidate_before_assignment,same_city_census_conflicts_candidate,Exact,"6500 W 104TH AVE, WESTMINSTER, CO, 80020",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
364050,2023,assign_county,39113,"Montgomery County, Ohio",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Montgomery County, Ohio (39113) for provider 364050 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,ACCESS HOSPITAL DAYTON,OH,DAYTON,45420,2611 WAYNE AVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2611 WAYNE AVE, DAYTON, OH, 45420",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
524043,2024,assign_county,55079,"Milwaukee County, Wisconsin",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Milwaukee County, Wisconsin (55079) for provider 524043 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,GRANITE HILLS HOSPITAL,WI,MILWAUKEE,53214,1706 S. 68TH STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1706 S 68TH ST, MILWAUKEE, WI, 53214",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
670265,2024,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 670265 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,CARROLLTON,75007,1401 EAST TRINITY MILLS ROAD,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
230071,2023,assign_county,26125,"Oakland County, Michigan",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Oakland County, Michigan (26125) for provider 230071 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,STRAITH HOSPITAL FOR SPECIAL SURGERY,MI,SOUTHFIELD,48033,23901 LAHSER ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"23901 LAHSER RD, SOUTHFIELD, MI, 48033",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
670136,2023,assign_county,48453,"Travis County, Texas",0.89,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Travis County, Texas (48453) for provider 670136 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,BSW MEDICAL CENTER - AUSTIN,TX,AUSTIN,78735,5245 W US 290,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"5245 W US HWY 290 SVC RD, AUSTIN, TX, 78735",0.88,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97,False
154060,2023,assign_county,18003,"Allen County, Indiana",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Allen County, Indiana (18003) for provider 154060 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,PARK CENTER INC.,IN,FORT WAYNE,46805,1909 CAREW STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1909 CAREW ST, FORT WAYNE, IN, 46805",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
054146,2024,assign_county,06001,"Alameda County, California",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Alameda County, California (06001) for provider 054146 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,TELECARE HERITAGE PHF,CA,OAKLAND,94601,2633 EAST 27TH STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2633 E 27TH ST, OAKLAND, CA, 94601",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
034037,2024,assign_county,04015,"Mohave County, Arizona",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Mohave County, Arizona (04015) for provider 034037 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,TALAS HARBOR AT BULLHEAD CITY,AZ,BULLHEAD CITY,86429,831 LANDON DRIVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"831 LANDON DR, BULLHEAD CITY, AZ, 86429",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
370225,2023,assign_county,40109,"Oklahoma County, Oklahoma",0.89,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Oklahoma County, Oklahoma (40109) for provider 370225 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,SUMMIT MEDICAL CENTER,OK,EDMOND,73013,1800 S. RENAISSANCE BLVD,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"1800 RENNAISSANCE BLVD, EDMOND, OK, 73013",0.88,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97,False
194089,2023,assign_county,22055,"Lafayette Parish, Louisiana",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Lafayette Parish, Louisiana (22055) for provider 194089 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,GENESIS BEHAVIORAL HOSPITAL INC,LA,LAFAYETTE,70501,847 STEWART STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"847 STEWART ST, LAFAYETTE, LA, 70501",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
054152,2024,assign_county,06087,"Santa Cruz County, California",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Santa Cruz County, California (06087) for provider 054152 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,TELECARE SANTA CRUZ PHF,CA,SANTA CRUZ,95062,2250 SOQUEL AVE SUITE 150,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2250 SOQUEL AVE, SANTA CRUZ, CA, 95062",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
193092,2024,assign_county,22033,"East Baton Rouge Parish, Louisiana",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to East Baton Rouge Parish, Louisiana (22033) for provider 193092 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,BETHESDA REHABILITATION HOSPITAL INC,LA,BATON ROUGE,70812,7414 SUMRALL DR,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"7414 SUMRALL DR, BATON ROUGE, LA, 70812",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
330411,2023,assign_county,36055,"Monroe County, New York",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Monroe County, New York (36055) for provider 330411 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,UNITY SPECIALITY HOSPITAL,NY,ROCHESTER,14611,89 GENESEE STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"89 GENESEE ST, ROCHESTER, NY, 14611",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
491991,2023,assign_county,51510,"Alexandria city, Virginia",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Alexandria city, Virginia (51510) for provider 491991 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,LYNN HOUSE OF POTOMAC VALLEY INC.,VA,ALEXANDRIA,22304,4400 W BRADDOCK ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_conflicts_candidate,Exact,"4400 W BRADDOCK RD, ALEXANDRIA, VA, 22304",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
014014,2023,assign_county,01097,"Mobile County, Alabama",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Mobile County, Alabama (01097) for provider 014014 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,BAYPOINTE BEHAVIORAL HEALTH,AL,MOBILE,36693,5800 SOUTHLAND DRIVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"5800 SOUTHLAND DR, MOBILE, AL, 36693",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
014000,2024,assign_county,01073,"Jefferson County, Alabama",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Jefferson County, Alabama (01073) for provider 014000 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,HILL CREST HOSPITAL,AL,BIRMINGHAM,35212,6869 FIFTH AVNUE SOUTH,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"6869 5TH AVE S, BIRMINGHAM, AL, 35212",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
053308,2024,assign_county,06059,"Orange County, California",0.89,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Orange County, California (06059) for provider 053308 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,HEALTHBRIDGE CHILDRENS ACUTE,CA,ORANGE,92866,393 EAST TUSTIN STREET,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"393 S TUSTIN ST, ORANGE, CA, 92866",0.88,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97,False
054083,2024,assign_county,06037,"Los Angeles County, California",0.89,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Los Angeles County, California (06037) for provider 054083 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,KEDREN COMMUNITY MENTAL HEALTH,CA,LOS ANGELES,90011,4211 SOUTH AVALON BLVD,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"4211 AVALON BLVD, LOS ANGELES, CA, 90011",0.88,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97,False
051990,2023,assign_county,06073,"San Diego County, California",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to San Diego County, California (06073) for provider 051990 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,SUNLAND HOME FOUNDATION,CA,ENCINITAS,92024,691 SPARTA DRIVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"691 SPARTA DR, ENCINITAS, CA, 92024",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
054149,2024,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 054149 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,WILLOW ROCK CENTER,CA,SAN LEANDRO,94578,22050 FAIRMONT DRIVE,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
143302,2023,assign_county,17031,"Cook County, Illinois",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Cook County, Illinois (17031) for provider 143302 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,SHRINERS HOSPITALS FOR CHILDREN,IL,CHICAGO,60707,2211 NORTH OAK PARK AVENUE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2211 N OAK PARK AVE, CHICAGO, IL, 60707",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
174023,2023,assign_county,20173,"Sedgwick County, Kansas",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Sedgwick County, Kansas (20173) for provider 174023 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,ST ANTHONYS SENIOR CARE HOSPITAL LLC,KS,WICHITA,67206,2114 N 127 COURT E SUITE 100,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2114 N 127TH CT E, WICHITA, KS, 67206",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
213300,2024,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 213300 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,MT WASHINGTON PEDIATRICS,MD,BALTIMORE,21209,1708 WEST ROGERS AVENUE,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
264028,2024,assign_county,29189,"St. Louis County, Missouri",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to St. Louis County, Missouri (29189) for provider 264028 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,HAWTHORN CHILDRENS PSYCH. CTR.,MO,ST LOUIS,63133,1901 PENNSYLVANIA AVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1901 PENNSYLVANIA AVE, SAINT LOUIS, MO, 63133",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
264033,2023,assign_county,29077,"Greene County, Missouri",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Greene County, Missouri (29077) for provider 264033 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,SPRINGFIELD BEHAVIORAL HOSPITAL,MO,SPRINGFIELD,65803,2828 N NATIONAL AVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2828 N NATIONAL AVE, SPRINGFIELD, MO, 65803",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
363304,2023,assign_county,39035,"Cuyahoga County, Ohio",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Cuyahoga County, Ohio (39035) for provider 363304 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,CHILDRENS HOSPITAL FOR REHABILITATI,OH,CLEVELAND,44104,2801 MARTIN LUTHER KING JR DR,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2801 MARTIN LUTHER KING JR DR, CLEVELAND, OH, 44104",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
374012,2023,assign_county,40143,"Tulsa County, Oklahoma",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Tulsa County, Oklahoma (40143) for provider 374012 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,BROOKHAVEN MEADOWBROOK HOSPITAL,OK,TULSA,74128,201 SOUTH GARNETT ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"201 S GARNETT RD, TULSA, OK, 74128",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
373300,2024,assign_county,40027,"Cleveland County, Oklahoma",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Cleveland County, Oklahoma (40027) for provider 373300 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,J D MCCARTY HANDICAPPED CTR,OK,NORMAN,73071,2002 E. ROBINSON ST,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2002 E ROBINSON ST, NORMAN, OK, 73071",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
