gap_closure_rank,source_pool_rank,fips,county,state_abbr,census_region,institutional_anchor_official_score,institutional_anchor_official_band,ipeds_institution_count,ipeds_enrollment_total,ipeds_medical_institution_count,cms_hospital_provider_count,cms_beds_total,cms_teaching_hospital_count,source_lane_count,primary_archetype,secondary_archetype,export_priority_rank,export_priority_score,preboom_prior_momentum_rank_pct,short_thesis,next_diligence_check
63,1324,17119,"Madison County, Illinois",IL,Midwest,89.75751850102347,major,3.0,20161.0,1.0,6.0,924.0,1.0,2.0,recovery/rebound market,amenity migration,1324,0.4429343128781331,0.7274789371354504,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 72.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.601).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
64,1695,06001,"Alameda County, California",CA,West,89.41111635962841,major,36.0,171488.0,0.0,7.0,1526.0,3.0,2.0,manufacturing reshoring,remote-work lifestyle market,1695,0.3524200518582541,0.2067401166558652,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 20.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.475).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
65,113,36081,"Queens County, New York",NY,Northeast,89.27334278066446,major,31.0,94330.0,0.0,5.0,2297.0,5.0,2.0,manufacturing reshoring,amenity migration,113,0.8447925669835782,0.11309138042773817,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 11.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.478).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
66,1019,37119,"Mecklenburg County, North Carolina",NC,South,89.02141395055897,major,15.0,66922.0,0.0,8.0,2705.0,4.0,2.0,manufacturing reshoring,remote-work lifestyle market,1019,0.5249999999999999,0.5418016850291639,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 54.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.477).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
67,2005,48423,"Smith County, Texas",TX,South,89.01354117461818,major,3.0,27963.0,1.0,4.0,517.0,1.0,2.0,amenity migration,retirement migration,2005,0.2725799481417459,0.5998055735580039,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 60.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.614).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
68,674,27137,"St. Louis County, Minnesota",MN,Midwest,88.9781136828846,major,4.0,23512.0,1.0,4.0,340.0,1.0,2.0,amenity migration,retirement migration,674,0.6169187554019016,0.5106934543097861,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 51.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.634).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
69,1886,51059,"Fairfax County, Virginia",VA,South,88.80097622421665,major,18.0,125048.0,0.0,5.0,1694.0,4.0,2.0,amenity migration,retirement migration,1886,0.30423509075194466,0.5631885936487362,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 56.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.484).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
70,1025,12103,"Pinellas County, Florida",FL,South,88.49393796252559,major,11.0,70855.0,0.0,8.0,2046.0,3.0,2.0,manufacturing reshoring,remote-work lifestyle market,1025,0.523314606741573,0.518146467919637,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 51.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.485).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
71,2308,34003,"Bergen County, New Jersey",NJ,Northeast,88.10423555345615,major,14.0,45649.0,0.0,7.0,1944.0,3.0,2.0,manufacturing reshoring,remote-work lifestyle market,2308,0.10650388936905791,0.7197018794556059,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 72.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.492).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
72,1033,12031,"Duval County, Florida",FL,South,87.86805227523224,major,18.0,65098.0,0.0,4.0,1785.0,3.0,2.0,manufacturing reshoring,remote-work lifestyle market,1033,0.5211754537597234,0.4711600777705768,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 47.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.483).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
73,1829,39057,"Greene County, Ohio",OH,Midwest,87.78145173988348,major,10.0,26470.0,1.0,2.0,181.0,1.0,2.0,recovery/rebound market,amenity migration,1829,0.3198141745894555,0.728451069345431,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 72.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.659).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
74,1328,08031,"Denver County, Colorado",CO,West,87.71059675641631,major,17.0,66143.0,0.0,4.0,1149.0,4.0,2.0,manufacturing reshoring,remote-work lifestyle market,1328,0.44109766637856523,0.17336357744653272,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 17.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.496).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
75,1929,53063,"Spokane County, Washington",WA,West,87.57675956542278,major,13.0,43929.0,0.0,5.0,1308.0,4.0,2.0,manufacturing reshoring,remote-work lifestyle market,1929,0.29191875540190143,0.2440051847051199,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 24.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.525).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
76,732,12071,"Lee County, Florida",FL,South,87.2500393638797,major,13.0,42857.0,0.0,5.0,1825.0,2.0,2.0,remote-work lifestyle market,amenity migration,732,0.6002376836646499,0.398250162022035,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 39.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.492).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
77,1169,27123,"Ramsey County, Minnesota",MN,Midwest,87.06109274130058,major,15.0,53409.0,0.0,4.0,915.0,3.0,2.0,amenity migration,retirement migration,1169,0.48241140881590316,0.23849643551523006,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 23.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.530).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
78,2278,25009,"Essex County, Massachusetts",MA,Northeast,86.83671862698787,major,12.0,38226.0,0.0,5.0,898.0,3.0,2.0,remote-work lifestyle market,manufacturing reshoring,2278,0.1563094209161625,0.7329876863253403,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 73.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.502).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
79,1760,08005,"Arapahoe County, Colorado",CO,West,86.76980003149112,major,12.0,48919.0,0.0,4.0,924.0,3.0,2.0,remote-work lifestyle market,amenity migration,1760,0.3356957649092481,0.22423849643551522,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 22.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.507).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
80,1079,06111,"Ventura County, California",CA,West,86.75011809163912,major,12.0,59212.0,0.0,5.0,743.0,2.0,2.0,remote-work lifestyle market,manufacturing reshoring,1079,0.5086214347450302,0.4478289047310434,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 44.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.507).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
81,1548,45045,"Greenville County, South Carolina",SC,South,86.70288143599434,major,8.0,27016.0,0.0,8.0,1268.0,4.0,2.0,amenity migration,retirement migration,1548,0.38779170267934315,0.7132209980557356,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 71.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.519).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
82,2113,27109,"Olmsted County, Minnesota",MN,Midwest,86.62021728861596,major,4.0,8587.0,1.0,2.0,1215.0,1.0,2.0,recovery/rebound market,amenity migration,2113,0.23677614520311152,0.35806869734283864,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 35.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.664).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
83,2309,34039,"Union County, New Jersey",NJ,Northeast,86.3289245788065,major,9.0,29593.0,0.0,6.0,951.0,3.0,2.0,manufacturing reshoring,remote-work lifestyle market,2309,0.10542350907519446,0.7235904082955282,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 72.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.532).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
84,1850,12105,"Polk County, Florida",FL,South,86.13604156825697,major,11.0,32896.0,0.0,4.0,1341.0,2.0,2.0,remote-work lifestyle market,amenity migration,1850,0.31402333621434747,0.5456902138690862,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 54.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.500).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
85,1386,53053,"Pierce County, Washington",WA,West,86.12029601637538,major,12.0,41962.0,0.0,4.0,810.0,2.0,2.0,remote-work lifestyle market,manufacturing reshoring,1386,0.427571305099395,0.31821127673363575,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 31.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.493).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
86,644,22033,"East Baton Rouge Parish, Louisiana",LA,South,86.0730593607306,major,20.0,70231.0,1.0,8.0,411.0,0.0,2.0,amenity migration,retirement migration,644,0.6299913569576491,0.2754374594944913,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 27.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.541).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
87,1679,40143,"Tulsa County, Oklahoma",OK,South,86.06125019681939,major,17.0,41526.0,1.0,9.0,610.0,0.0,2.0,amenity migration,retirement migration,1679,0.35678478824546245,0.6484121840570317,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 64.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.509).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
88,2095,36001,"Albany County, New York",NY,Northeast,86.04944103290819,major,15.0,53330.0,1.0,1.0,719.0,1.0,2.0,amenity migration,retirement migration,2095,0.2421780466724287,0.7200259235255995,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 72.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.577).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
89,1043,49049,"Utah County, Utah",UT,West,86.01401354117462,major,13.0,105576.0,0.0,6.0,672.0,1.0,2.0,remote-work lifestyle market,amenity migration,1043,0.5187121866897147,0.20349967595593,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 20.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.509).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
90,910,06013,"Contra Costa County, California",CA,West,85.8053849787435,major,11.0,51390.0,0.0,4.0,585.0,2.0,2.0,remote-work lifestyle market,manufacturing reshoring,910,0.5538677614520312,0.13188593648736227,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 13.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.486).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
91,1308,12127,"Volusia County, Florida",FL,South,85.75027554715793,major,8.0,53674.0,0.0,7.0,1444.0,1.0,2.0,remote-work lifestyle market,amenity migration,1308,0.44608902333621436,0.5729099157485418,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 57.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.517).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
92,526,06081,"San Mateo County, California",CA,West,85.49834671705243,major,9.0,40723.0,0.0,4.0,713.0,2.0,2.0,manufacturing reshoring,remote-work lifestyle market,526,0.6613872082973207,0.15554115359688916,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 15.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.516).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
93,472,34017,"Hudson County, New Jersey",NJ,Northeast,85.22279955912455,major,9.0,34945.0,0.0,4.0,675.0,2.0,2.0,manufacturing reshoring,remote-work lifestyle market,472,0.681590319792567,0.37686325340246274,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 37.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.523).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
94,141,05131,"Sebastian County, Arkansas",AR,South,85.21099039521336,major,5.0,7116.0,1.0,2.0,364.0,1.0,2.0,amenity migration,retirement migration,141,0.8270743301642178,0.31918340894361635,"Moderate quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 31.9%, inside the not-hot gate. Market-depth adequacy is high (0.708).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
95,2057,25021,"Norfolk County, Massachusetts",MA,Northeast,85.19918123130215,major,15.0,25071.0,0.0,8.0,922.0,1.0,2.0,remote-work lifestyle market,manufacturing reshoring,2057,0.2574978392394123,0.6600777705767984,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 66.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.507).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
96,851,51121,"Montgomery County, Virginia",VA,South,85.06140765233822,major,2.0,42972.0,2.0,2.0,182.0,1.0,2.0,amenity migration,retirement migration,851,0.5727960242005186,0.525599481529488,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 52.6%, inside the not-hot gate. Market-depth adequacy is high (0.786).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
97,1553,18089,"Lake County, Indiana",IN,Midwest,85.05353487639742,major,10.0,17980.0,0.0,6.0,777.0,2.0,2.0,amenity migration,retirement migration,1553,0.3873163353500432,0.5904082955281919,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 59.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.536).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
98,1713,20091,"Johnson County, Kansas",KS,Midwest,84.8409699259959,major,10.0,30351.0,0.0,9.0,704.0,1.0,2.0,amenity migration,retirement migration,1713,0.34935177182368193,0.6604018146467919,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 66.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.510).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
99,1235,13089,"DeKalb County, Georgia",GA,South,84.56148638009762,major,16.0,36392.0,1.0,1.0,330.0,1.0,2.0,manufacturing reshoring,amenity migration,1235,0.46594641313742435,0.3849643551523007,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 38.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.503).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
100,1562,05143,"Washington County, Arkansas",AR,South,84.49850417257126,major,5.0,34249.0,0.0,4.0,858.0,2.0,2.0,amenity migration,retirement migration,1562,0.38567415730337085,0.7485418016850292,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 74.9%, inside the not-hot gate. Market-depth adequacy is moderate (0.599).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
