guarded_blend_rank,blend_rank,export_priority_rank,fips,county,state_abbr,census_region,qa_status,qa_flags,blend_score,preboom_classifier_score,classifier_rank_pct,investable_residual_model_score,residual_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,overall_rank,total_population,short_thesis,structural_summary,support_narrative,brake_narrative
41,101,71,16017,"Bonner County, Idaho",ID,West,advance,,0.9359550561797753,0.5135545131513435,0.9429559204840103,0.01750864788829906,0.8729472774416595,0.2537265068049255,0.9042372311985222,0.0561372580614236,2244,53955.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 25.4%, inside the not-hot gate. Market-depth adequacy is high (0.904).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.853); site-thesis support is moderate (0.657); optionality is moderate (0.625). Brakes: wetlands constraint is heavy (0.678); constraint pressure is moderate (0.595); constraint complexity is moderate (0.551).,Structural support: scarcity/amenity balance is strong (0.853); site-thesis support is moderate (0.657); optionality is moderate (0.625),Structural brakes: wetlands constraint is heavy (0.678); constraint pressure is moderate (0.595); constraint complexity is moderate (0.551)
42,105,79,06015,"Del Norte County, California",CA,West,advance_with_notes,small_market; labor_stress,0.9347450302506483,0.5104514148669397,0.9412273120138289,0.018328669561793506,0.8764044943820225,0.220349967595593,0.7345524474549406,0.1208116275672006,1694,27009.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 22.0%, inside the not-hot gate. Market-depth adequacy is high (0.735).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.910); optionality is strong (0.679); site-thesis support is strong (0.676). Brakes: fragility pressure is moderate (0.635).,Structural support: scarcity/amenity balance is strong (0.910); optionality is strong (0.679); site-thesis support is strong (0.676),Structural brakes: fragility pressure is moderate (0.635)
43,112,40,50015,"Lamoille County, Vermont",VT,Northeast,advance_with_notes,small_market,0.9329299913569578,0.4778833907137474,0.9261019878997407,0.08248798885485613,0.9943820224719101,0.313350615683733,0.8758815164371483,0.0116142810719008,1738,26248.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 31.3%, inside the not-hot gate. Market-depth adequacy is high (0.876).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is heavy (0.720); wetlands constraint is moderate (0.568).,Structural support: no major structural supports flagged,Structural brakes: constraint pressure is heavy (0.720); wetlands constraint is moderate (0.568)
44,114,70,47155,"Sevier County, Tennessee",TN,South,advance,,0.9317631806395851,0.47549005969819164,0.9243733794295592,0.11450451659689465,0.9982713915298185,0.2592352559948153,0.7173491576175486,0.0121139803150394,2647,100184.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 25.9%, inside the not-hot gate. Market-depth adequacy is high (0.717).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.710); optionality is moderate (0.635). Brakes: constraint pressure is moderate (0.616); fragility pressure is moderate (0.605); constraint complexity is moderate (0.599).,Structural support: scarcity/amenity balance is strong (0.710); optionality is moderate (0.635),Structural brakes: constraint pressure is moderate (0.616); fragility pressure is moderate (0.605); constraint complexity is moderate (0.599)
45,116,192,35009,"Curry County, New Mexico",NM,West,advance_with_notes,small_market,0.9315471045808125,0.6463623986473022,0.9831460674157303,-0.04861209668106363,0.4671564390665514,0.20479585223590407,0.9703971269462652,0.4342111000906409,821,47156.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 20.5%, inside the not-hot gate. Market-depth adequacy is high (0.970).",Wave 3 support is strong; structural brakes are light. Supports: developability is strong (0.785); fragility/support balance is strong (0.775); optionality is strong (0.710). Brakes: no major structural brakes flagged.,Structural support: developability is strong (0.785); fragility/support balance is strong (0.775); optionality is strong (0.710),Structural brakes: no major structural brakes flagged
46,117,47,21193,"Perry County, Kentucky",KY,South,advance_with_notes,small_market; recent_population_decline,0.9310285220397579,0.48424872761440835,0.9295592048401037,0.03895488099174777,0.9442523768366465,0.21062864549578741,0.740238790397886,0.1424667447997377,1419,26739.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 21.1%, inside the not-hot gate. Market-depth adequacy is high (0.740).",Wave 3 support is moderate; structural brakes are light. Supports: optionality is moderate (0.645). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.645),Structural brakes: no major structural brakes flagged
47,120,34,02020,"Anchorage Municipality, Alaska",AK,West,advance_with_notes,moderate_market_depth,0.9306828003457217,0.4775466628325494,0.92523768366465,0.06213842973851086,0.9796888504753674,0.35029163966299415,0.5938163330077948,0.2361525037791313,1291,289600.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.594).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.906); fragility/support balance is strong (0.712); optionality is strong (0.701). Brakes: fragility pressure is moderate (0.618).,Structural support: scarcity/amenity balance is strong (0.906); fragility/support balance is strong (0.712); optionality is strong (0.701),Structural brakes: fragility pressure is moderate (0.618)
48,129,95,20061,"Geary County, Kansas",KS,Midwest,advance_with_notes,small_market,0.9271823681936041,0.4962162577011453,0.9351771823681936,0.013506216246563563,0.8552290406222991,0.3402462734931951,0.8950041918814311,0.0307367596161738,804,35459.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 34.0%, inside the not-hot gate. Market-depth adequacy is high (0.895).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.732); optionality is strong (0.680); site-thesis support is moderate (0.608). Brakes: fragility pressure is moderate (0.654); constraint complexity is moderate (0.567).,Structural support: scarcity/amenity balance is strong (0.732); optionality is strong (0.680); site-thesis support is moderate (0.608),Structural brakes: fragility pressure is moderate (0.654); constraint complexity is moderate (0.567)
49,130,54,21235,"Whitley County, Kentucky",KY,South,advance_with_notes,small_market,0.926923076923077,0.49383684467630085,0.9338807260155575,0.015307832189022473,0.8643042350907519,0.177900194426442,0.9050025450288518,0.1456813536368331,2236,37233.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 17.8%, inside the not-hot gate. Market-depth adequacy is high (0.905).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.743); optionality is moderate (0.656). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.743); optionality is moderate (0.656),Structural brakes: no major structural brakes flagged
50,132,97,37157,"Rockingham County, North Carolina",NC,South,advance,,0.9262316335350044,0.4934589279249381,0.9334485738980121,0.014951783491954357,0.8612791702679343,0.3457550226830849,0.7910248668504073,0.080843377613259,103,93517.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 34.6%, inside the not-hot gate. Market-depth adequacy is high (0.791).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged
51,134,14,13111,"Fannin County, Georgia",GA,South,advance_with_notes,small_market,0.9247191011235955,0.4625671587653743,0.9165946413137425,0.10492077011302237,0.9978392394122731,0.19604666234607906,0.8645224542161983,0.169642895904289,2055,25854.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 19.6%, inside the not-hot gate. Market-depth adequacy is high (0.865).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.783); optionality is strong (0.674); site-thesis support is moderate (0.651). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.783); optionality is strong (0.674); site-thesis support is moderate (0.651),Structural brakes: no major structural brakes flagged
52,135,42,08117,"Summit County, Colorado",CO,West,advance_with_notes,small_market,0.9247191011235955,0.49306142608969245,0.9330164217804667,0.01249599649277961,0.8500432152117545,0.14322747893713544,0.9323238277463718,0.1911223716153263,2808,30882.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 14.3%, inside the not-hot gate. Market-depth adequacy is high (0.932).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.844); fragility/support balance is strong (0.697); site-thesis support is moderate (0.668). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.844); fragility/support balance is strong (0.697); site-thesis support is moderate (0.668),Structural brakes: no major structural brakes flagged
53,139,89,41029,"Jackson County, Oregon",OR,West,advance_with_notes,moderate_market_depth,0.922342264477096,0.4739039768347114,0.9230769230769231,0.02871763842198437,0.9157303370786517,0.16688269604666234,0.6195950777447311,0.1424996960111401,1925,221331.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 16.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.620).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.740); optionality is moderate (0.643); site-thesis support is moderate (0.610). Brakes: constraint pressure is moderate (0.555).,Structural support: scarcity/amenity balance is strong (0.740); optionality is moderate (0.643); site-thesis support is moderate (0.610),Structural brakes: constraint pressure is moderate (0.555)
54,143,38,46081,"Lawrence County, South Dakota",SD,Midwest,advance_with_notes,small_market,0.9214779602420051,0.47375275677530354,0.9226447709593777,0.027185335447767092,0.9109766637856526,0.4646791963707064,0.8924118071918652,0.1430121971336919,1997,28809.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 46.5%, inside the not-hot gate. Market-depth adequacy is high (0.892).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.659); site-thesis support is moderate (0.608). Brakes: constraint pressure is moderate (0.580).,Structural support: optionality is moderate (0.659); site-thesis support is moderate (0.608),Structural brakes: constraint pressure is moderate (0.580)
55,146,41,39009,"Athens County, Ohio",OH,Midwest,advance_with_notes,already_high_in_live_ranking,0.9201382886776146,0.46558356064052836,0.918323249783924,0.036494224098401896,0.9364736387208298,0.4115359688917693,0.9602605624658468,0.0631122135033979,77,63218.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 41.2%, inside the not-hot gate. Market-depth adequacy is high (0.960).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.651). Brakes: constraint pressure is moderate (0.624).,Structural support: optionality is moderate (0.651),Structural brakes: constraint pressure is moderate (0.624)
56,161,88,50021,"Rutland County, Vermont",VT,Northeast,advance,,0.9115384615384614,0.4630855176614403,0.9170267934312878,0.015001957633364808,0.8621434745030251,0.4611147116007777,0.8764435801238768,0.0926650705800292,1791,60198.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 46.1%, inside the not-hot gate. Market-depth adequacy is high (0.876).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.746); fragility/support balance is moderate (0.631). Brakes: constraint pressure is moderate (0.670); wetlands constraint is moderate (0.628).,Structural support: scarcity/amenity balance is strong (0.746); fragility/support balance is moderate (0.631),Structural brakes: constraint pressure is moderate (0.670); wetlands constraint is moderate (0.628)
57,166,10,16013,"Blaine County, Idaho",ID,West,advance_with_notes,small_market,0.9074330164217804,0.43788584113811546,0.8971477960242005,0.16769777982292364,1.0,0.4118600129617628,0.8820062187108225,0.2427670979635803,1479,25261.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 41.2%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.778); optionality is strong (0.696); site-thesis support is strong (0.678). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.778); optionality is strong (0.696); site-thesis support is strong (0.678),Structural brakes: no major structural brakes flagged
58,167,449,35015,"Eddy County, New Mexico",NM,West,advance,,0.9068712186689715,0.6649300566284033,0.986171132238548,-0.09485088929517305,0.19317199654278305,0.07485418016850291,0.8808693104651225,0.4192861336008934,1660,61436.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 7.5%, inside the not-hot gate. Market-depth adequacy is high (0.881).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.766); site-thesis support is strong (0.753); optionality is strong (0.748). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.766); site-thesis support is strong (0.753); optionality is strong (0.748),Structural brakes: no major structural brakes flagged
59,173,153,36047,"Kings County, New York",NY,Northeast,advance_with_notes,moderate_market_depth,0.9047104580812446,0.43934571023548574,0.8984442523768367,0.048125266696657565,0.9611063094209161,0.16753078418664938,0.4780702053765269,0.0359194962228243,2129,2617631.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 16.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.478).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.745); site-thesis support is strong (0.719); optionality is moderate (0.624). Brakes: fragility pressure is heavy (0.721); wetlands constraint is moderate (0.615); constraint complexity is moderate (0.557).,Structural support: scarcity/amenity balance is strong (0.745); site-thesis support is strong (0.719); optionality is moderate (0.624),Structural brakes: fragility pressure is heavy (0.721); wetlands constraint is moderate (0.615); constraint complexity is moderate (0.557)
60,183,526,06081,"San Mateo County, California",CA,West,advance_with_notes,moderate_market_depth,0.9003025064822817,0.5465442242721167,0.9567847882454624,-0.05800432225613465,0.391961970613656,0.15554115359688916,0.5164054356579527,0.0623935067089934,2684,742893.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 15.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.516).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.831); optionality is moderate (0.645); site-thesis support is moderate (0.630). Brakes: wetlands constraint is moderate (0.645); constraint pressure is moderate (0.561).,Structural support: scarcity/amenity balance is strong (0.831); optionality is moderate (0.645); site-thesis support is moderate (0.630),Structural brakes: wetlands constraint is moderate (0.645); constraint pressure is moderate (0.561)
61,185,142,39059,"Guernsey County, Ohio",OH,Midwest,advance_with_notes,small_market,0.8992221261884182,0.46108845442052715,0.9152981849611063,-0.006034298175276826,0.7545375972342264,0.3661697990926766,0.9412217157698797,0.0702055831905867,543,38219.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 36.6%, inside the not-hot gate. Market-depth adequacy is high (0.941).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.619); scarcity/amenity balance is moderate (0.619). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.619); scarcity/amenity balance is moderate (0.619),Structural brakes: no major structural brakes flagged
62,191,554,35025,"Lea County, New Mexico",NM,West,advance,,0.8962834917891097,0.6683823955650146,0.9874675885911841,-0.13102878521234504,0.0756266205704408,0.0152300712896954,0.8644119511110137,0.4723621900376049,2214,75151.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 1.5%, inside the not-hot gate. Market-depth adequacy is high (0.864).",Wave 3 support is strong; structural brakes are light. Supports: site-thesis support is strong (0.809); fragility/support balance is strong (0.794); optionality is strong (0.773). Brakes: no major structural brakes flagged.,Structural support: site-thesis support is strong (0.809); fragility/support balance is strong (0.794); optionality is strong (0.773),Structural brakes: no major structural brakes flagged
63,192,190,06057,"Nevada County, California",CA,West,advance,,0.8958945548833189,0.46736049161468857,0.9187554019014693,-0.016574138135890502,0.6901469317199654,0.10823071937783539,0.7446984894829617,0.1680214050971089,2654,102195.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 10.8%, inside the not-hot gate. Market-depth adequacy is high (0.745).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.765); optionality is moderate (0.663); site-thesis support is moderate (0.656). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.765); optionality is moderate (0.663); site-thesis support is moderate (0.656),Structural brakes: no major structural brakes flagged
64,196,344,35029,"Luna County, New Mexico",NM,West,advance_with_notes,small_market; moderate_market_depth; labor_stress,0.8944684528954192,0.5250066241318411,0.9455488331892826,-0.0527612536148532,0.4347450302506482,0.19215813350615685,0.6892908332940388,0.2834878902172981,1677,25878.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 19.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.689).",Wave 3 support is moderate; structural brakes are light. Supports: optionality is strong (0.729); site-thesis support is strong (0.700); fragility/support balance is moderate (0.651). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.729); site-thesis support is strong (0.700); fragility/support balance is moderate (0.651),Structural brakes: no major structural brakes flagged
65,199,127,35049,"Santa Fe County, New Mexico",NM,West,advance_with_notes,moderate_market_depth,0.8932584269662921,0.44205381428423485,0.9006050129645635,0.007152337090809333,0.8271391529818496,0.40602721970187944,0.67108586714001,0.18315073975904,1939,157765.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 40.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.671).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.696); site-thesis support is moderate (0.646). Brakes: fragility pressure is moderate (0.600).,Structural support: optionality is strong (0.696); site-thesis support is moderate (0.646),Structural brakes: fragility pressure is moderate (0.600)
66,200,218,01073,"Jefferson County, Alabama",AL,South,advance_with_notes,moderate_market_depth,0.8931719965427831,0.4469317785755459,0.9053586862575627,-0.0007714351018111253,0.7834917891097667,0.3425145819831497,0.5086325866494686,0.1115964719415874,971,664744.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 34.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.509).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.637); fragility/support balance is moderate (0.605). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.637); fragility/support balance is moderate (0.605),Structural brakes: no major structural brakes flagged
67,202,216,26051,"Gladwin County, Michigan",MI,Midwest,advance_with_notes,small_market; labor_stress,0.8923076923076922,0.4605416017993454,0.9144338807260155,-0.016104634380551024,0.693171996542783,0.4053791315618924,0.7773863536378101,0.0808907147610207,104,25995.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 40.5%, inside the not-hot gate. Market-depth adequacy is high (0.777).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.683); scarcity/amenity balance is moderate (0.668). Brakes: wetlands constraint is heavy (0.782); constraint pressure is moderate (0.558).,Structural support: fragility/support balance is strong (0.683); scarcity/amenity balance is moderate (0.668),Structural brakes: wetlands constraint is heavy (0.782); constraint pressure is moderate (0.558)
68,208,141,05131,"Sebastian County, Arkansas",AR,South,advance,,0.8906222990492653,0.4293138516760251,0.8910976663785652,0.021294078885121713,0.8863439930855661,0.31918340894361635,0.7075324925620468,0.0457383839733814,585,130035.0,"Moderate quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 31.9%, inside the not-hot gate. Market-depth adequacy is high (0.708).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.683); optionality is moderate (0.610). Brakes: constraint pressure is moderate (0.621).,Structural support: scarcity/amenity balance is strong (0.683); optionality is moderate (0.610),Structural brakes: constraint pressure is moderate (0.621)
69,210,56,17199,"Williamson County, Illinois",IL,Midwest,advance_with_notes,already_high_in_live_ranking,0.8897147796024201,0.41582068146465545,0.8785652549697494,0.07390034148512716,0.9900605012964564,0.3233959818535321,0.8713118401279016,0.074210726683256,25,67064.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 32.3%, inside the not-hot gate. Market-depth adequacy is high (0.871).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.826); optionality is moderate (0.641); site-thesis support is moderate (0.620). Brakes: wetlands constraint is moderate (0.658); constraint pressure is moderate (0.570).,Structural support: scarcity/amenity balance is strong (0.826); optionality is moderate (0.641); site-thesis support is moderate (0.620),Structural brakes: wetlands constraint is moderate (0.658); constraint pressure is moderate (0.570)
70,212,336,25025,"Suffolk County, Massachusetts",MA,Northeast,advance_with_notes,moderate_market_depth,0.8878997407087296,0.4801279326882565,0.9278305963699223,-0.03895149835101953,0.5285220397579948,0.2423849643551523,0.5059925095792366,0.3103427330398773,2495,793144.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 24.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.506).",Wave 3 support is strong; structural brakes are moderate. Supports: fragility/support balance is strong (0.802); scarcity/amenity balance is strong (0.732); optionality is strong (0.731). Brakes: wetlands constraint is heavy (0.680).,Structural support: fragility/support balance is strong (0.802); scarcity/amenity balance is strong (0.732); optionality is strong (0.731),Structural brakes: wetlands constraint is heavy (0.680)
71,213,100,39167,"Washington County, Ohio",OH,Midwest,advance,,0.8872082973206569,0.4415695098807351,0.9001728608470182,-0.0031462448095451426,0.7705272255834054,0.2692806221646144,0.9092621882647133,0.2381401954635565,758,58332.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 26.9%, inside the not-hot gate. Market-depth adequacy is high (0.909).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.696); optionality is strong (0.678); scarcity/amenity balance is moderate (0.661). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.696); optionality is strong (0.678); scarcity/amenity balance is moderate (0.661),Structural brakes: no major structural brakes flagged
72,214,43,37111,"McDowell County, North Carolina",NC,South,advance_with_notes,small_market,0.8866464995678479,0.41990520112832097,0.8807260155574762,0.03754825724527424,0.9399308556611927,0.4630589760207388,0.9946298732084097,0.1054820941635827,1609,45269.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 46.3%, inside the not-hot gate. Market-depth adequacy is high (0.995).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.710); optionality is moderate (0.660); site-thesis support is moderate (0.612). Brakes: constraint pressure is moderate (0.574).,Structural support: scarcity/amenity balance is strong (0.710); optionality is moderate (0.660); site-thesis support is moderate (0.612),Structural brakes: constraint pressure is moderate (0.574)
73,215,238,24005,"Baltimore County, Maryland",MD,South,advance_with_notes,moderate_market_depth,0.8865600691443389,0.43391172164463737,0.8945548833189283,0.005005919981614276,0.8146067415730337,0.34543097861309136,0.49909099476924057,0.0699666257296156,857,852425.0,"Moderate quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 34.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.499).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.679); optionality is moderate (0.641). Brakes: wetlands constraint is moderate (0.612).,Structural support: scarcity/amenity balance is strong (0.679); optionality is moderate (0.641),Structural brakes: wetlands constraint is moderate (0.612)
74,218,211,39131,"Pike County, Ohio",OH,Midwest,advance_with_notes,small_market,0.8852203975799482,0.4410080534321895,0.8993085566119274,-0.005310578184247691,0.7584269662921348,0.2887232663642255,0.7577711383074391,0.0412103981239987,1035,27065.0,"Moderate quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 28.9%, inside the not-hot gate. Market-depth adequacy is high (0.758).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.633). Brakes: constraint pressure is moderate (0.578).,Structural support: optionality is moderate (0.633),Structural brakes: constraint pressure is moderate (0.578)
75,237,29,54049,"Marion County, West Virginia",WV,South,advance_with_notes,already_high_in_live_ranking,0.8789974070872948,0.40641439486119324,0.8686257562662058,0.0571353022559442,0.9723422644770959,0.3833441348023331,0.9342218773100395,0.207997791296489,53,55649.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.3%, inside the not-hot gate. Market-depth adequacy is high (0.934).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is moderate (0.665); optionality is moderate (0.634). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is moderate (0.665); optionality is moderate (0.634),Structural brakes: no major structural brakes flagged
76,255,322,06009,"Calaveras County, California",CA,West,advance_with_notes,small_market; labor_stress,0.8710890233362143,0.47538091212032935,0.9239412273120138,-0.05781078989857873,0.395419187554019,0.1322099805573558,0.9669851968642451,0.2233285520652791,3035,46505.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 13.2%, inside the not-hot gate. Market-depth adequacy is high (0.967).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.735); optionality is strong (0.695); fragility/support balance is strong (0.686). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.735); optionality is strong (0.695); fragility/support balance is strong (0.686),Structural brakes: no major structural brakes flagged
77,259,173,32031,"Washoe County, Nevada",NV,West,advance_with_notes,moderate_market_depth,0.8693604148660329,0.39915951650115206,0.8643042350907519,0.028352472971150226,0.9148660328435609,0.20123136746597536,0.5327221966407841,0.0971419867310979,1404,507280.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 20.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.533).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.854); site-thesis support is moderate (0.662); optionality is moderate (0.656). Brakes: wetlands constraint is moderate (0.638); constraint pressure is moderate (0.578).,Structural support: scarcity/amenity balance is strong (0.854); site-thesis support is moderate (0.662); optionality is moderate (0.656),Structural brakes: wetlands constraint is moderate (0.638); constraint pressure is moderate (0.578)
78,265,69,02122,"Kenai Peninsula Borough, Alaska",AK,West,advance,,0.8653414001728608,0.39388842049298256,0.8578219533275713,0.034863874303099694,0.9330164217804667,0.1406351263771873,0.8829717908982697,0.1559909142656328,1603,61259.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 14.1%, inside the not-hot gate. Market-depth adequacy is high (0.883).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.885); optionality is moderate (0.666); site-thesis support is moderate (0.657). Brakes: fragility pressure is moderate (0.628).,Structural support: scarcity/amenity balance is strong (0.885); optionality is moderate (0.666); site-thesis support is moderate (0.657),Structural brakes: fragility pressure is moderate (0.628)
79,272,447,26033,"Chippewa County, Michigan",MI,Midwest,advance_with_notes,small_market; labor_stress,0.862057044079516,0.4603902497791983,0.9135695764909249,-0.05728470081100184,0.39844425237683667,0.4176928062216461,0.8727797531533614,0.0869592868786625,151,36253.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 41.8%, inside the not-hot gate. Market-depth adequacy is high (0.873).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.857); fragility/support balance is strong (0.705); site-thesis support is moderate (0.656). Brakes: wetlands constraint is heavy (0.800); constraint pressure is moderate (0.633).,Structural support: scarcity/amenity balance is strong (0.857); fragility/support balance is strong (0.705); site-thesis support is moderate (0.656),Structural brakes: wetlands constraint is heavy (0.800); constraint pressure is moderate (0.633)
80,273,685,06045,"Mendocino County, California",CA,West,advance,,0.862057044079516,0.5080916818055217,0.9399308556611927,-0.10314270081166269,0.16119273984442523,0.020414776409591703,0.8207557953668838,0.0717609287199514,3068,89175.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 2.0%, inside the not-hot gate. Market-depth adequacy is high (0.821).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.791); optionality is moderate (0.646); site-thesis support is moderate (0.604). Brakes: fragility pressure is moderate (0.605); constraint complexity is moderate (0.571); constraint pressure is moderate (0.563).,Structural support: scarcity/amenity balance is strong (0.791); optionality is moderate (0.646); site-thesis support is moderate (0.604),Structural brakes: fragility pressure is moderate (0.605); constraint complexity is moderate (0.571); constraint pressure is moderate (0.563)
