pattern_candidate_status,pattern_candidate_priority,matched_street_query,matched_city_zip_query,evidence_snippet,suggested_parser_rule,document_text_available,parse_review_priority,parse_review_category,recommended_action,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,address_parse_status,address_parse_error,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,filing_document_fetch_error
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0508,"CBAK Energy Technology, Inc.",CBAT,2006-02-22,10-Q/A,0001275287-06-001031,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BAK INDUSTRIAL PARK, MEIGUI STREET HUAYUANKOU ECONOMIC ZONE",DALIAN,F4,116422,,,data/raw/sec_edgar_hq/filing_documents/CIK0001117171/000127528706001031/cb4909.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0439,"CBAK Energy Technology, Inc.",CBAT,2006-12-08,10-K,0001275287-06-006401,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BAK INDUSTRIAL PARK, MEIGUI STREET HUAYUANKOU ECONOMIC ZONE",DALIAN,F4,116422,,,data/raw/sec_edgar_hq/filing_documents/CIK0001117171/000127528706006401/cb8173.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0440,"CBAK Energy Technology, Inc.",CBAT,2026-03-31,10-K,0001213900-26-036952,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BAK INDUSTRIAL PARK, MEIGUI STREET HUAYUANKOU ECONOMIC ZONE",DALIAN,F4,116422,,,data/raw/sec_edgar_hq/filing_documents/CIK0001117171/000121390026036952/ea0283349-10k_cbak.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0441,CENOVUS ENERGY INC.,CVE,2010-02-18,40-F,0001104659-10-007827,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,225 - 6 AVENUE S.W. P.O. BOX 766,CALGARY,A0,T2P 1N2,,,data/raw/sec_edgar_hq/filing_documents/CIK0001475260/000110465910007827/a10-3706_140f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0442,CENOVUS ENERGY INC.,CVE,2011-02-25,40-F,0001104659-11-010143,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,225 - 6 AVENUE S.W. P.O. BOX 766,CALGARY,A0,T2P 1N2,,,data/raw/sec_edgar_hq/filing_documents/CIK0001475260/000110465911010143/a11-5658_140f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0443,CENOVUS ENERGY INC.,CVE,2012-02-22,40-F,0001104659-12-011572,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,225 - 6 AVENUE S.W. P.O. BOX 766,CALGARY,A0,T2P 1N2,,,data/raw/sec_edgar_hq/filing_documents/CIK0001475260/000110465912011572/a12-4456_140f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0445,CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHKP,2000-06-28,20-F,0000950123-00-006128,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,5 SHLOMO KAPLAN STREET,"TEL AVIV, ISRAEL",,6789159,,,data/raw/sec_edgar_hq/filing_documents/CIK0001015922/000095012300006128/e20-f.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0446,CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHKP,2001-06-25,20-F,0000950123-01-503790,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,5 SHLOMO KAPLAN STREET,"TEL AVIV, ISRAEL",,6789159,,,data/raw/sec_edgar_hq/filing_documents/CIK0001015922/000095012301503790/y50710e20-f.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0447,CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHKP,2002-03-21,20-F,0000950123-02-002761,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,5 SHLOMO KAPLAN STREET,"TEL AVIV, ISRAEL",,6789159,,,data/raw/sec_edgar_hq/filing_documents/CIK0001015922/000095012302002761/y58611e20-f.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0455,CN Healthy Food Tech Group Corp.,UCFI,2026-03-31,10-K,0001213900-26-037655,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,P.O. BOX 2506,TOLUCA LAKE,CA,91610,,,data/raw/sec_edgar_hq/filing_documents/CIK0001901203/000121390026037655/ea0284238-10k_cnhealthy.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0514,CN Healthy Food Tech Group Corp.,UCFI,2026-05-13,10-Q,0001213900-26-055809,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,P.O. BOX 2506,TOLUCA LAKE,CA,91610,,,data/raw/sec_edgar_hq/filing_documents/CIK0001901203/000121390026055809/ea0290221-10q_cnhealthy.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0515,China Foods Holdings Ltd.,CFOO,2009-02-20,10-Q,0001016295-09-000031,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"SUITE 3102, EVERBRIGHT CENTER 108 GLOUCESTER ROAD",WANCHAI,K3,0000,,,data/raw/sec_edgar_hq/filing_documents/CIK0001310630/000101629509000031/frm10q-31dec08_tri.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0460,China Foods Holdings Ltd.,CFOO,2009-12-29,10-K,0001010412-09-000328,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"SUITE 3102, EVERBRIGHT CENTER 108 GLOUCESTER ROAD",WANCHAI,K3,0000,,,data/raw/sec_edgar_hq/filing_documents/CIK0001310630/000101041209000328/trafalgar9300910krevised28.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0461,China Foods Holdings Ltd.,CFOO,2026-04-16,10-K,0001493152-26-016902,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"SUITE 3102, EVERBRIGHT CENTER 108 GLOUCESTER ROAD",WANCHAI,K3,0000,,,data/raw/sec_edgar_hq/filing_documents/CIK0001310630/000149315226016902/form10-k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0516,China Foods Holdings Ltd.,CFOO,2026-05-15,10-Q,0001493152-26-023674,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"SUITE 3102, EVERBRIGHT CENTER 108 GLOUCESTER ROAD",WANCHAI,K3,0000,,,data/raw/sec_edgar_hq/filing_documents/CIK0001310630/000149315226023674/form10-q.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0462,ChowChow Cloud International Holdings Ltd,CHOW,2026-05-15,20-F,0001493152-26-023952,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"UNIT 03, 23/F., AITKEN VANSON CENTRE, NO. 61 HOI YUEN ROAD, KWUN TONG, KOWLOON",HONG KONG,K3,000000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002041829/000149315226023952/form20-f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0299,ClearBridge Energy Midstream Opportunity Fund Inc.,EMO,2026-02-09,424B5,0001193125-26-043047,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,620 EIGHTH AVENUE 47TH FLOOR,NEW YORK,NY,10018,36061,New York County,data/raw/sec_edgar_hq/filing_documents/CIK0001517518/000119312526043047/d60811d424b5.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0310,"Custom Truck One Source, Inc.",CTOS,2017-09-27,10-Q,0001213900-17-010056,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,7701 INDEPENDENCE AVENUE,KANSAS CITY,MO,64125,29095,Jackson County,data/raw/sec_edgar_hq/filing_documents/CIK0001709682/000121390017010056/f10q0617_capitolinvestment.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0113,"Custom Truck One Source, Inc.",CTOS,2018-03-27,10-K,0001213900-18-003531,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,7701 INDEPENDENCE AVENUE,KANSAS CITY,MO,64125,29095,Jackson County,data/raw/sec_edgar_hq/filing_documents/CIK0001709682/000121390018003531/f10k2017_capitolinvestment4.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0470,DAQO NEW ENERGY CORP.,DQ,2026-04-20,20-F,0001104659-26-045134,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,666 LONGDU AVENUE,"WANZHOU, CHONGQING",,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001477641/000110465926045134/dq-20251231x20f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0314,"DELTA AIR LINES, INC.",DAL,2016-10-13,10-Q,0000027904-16-000029,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD,ATLANTA,GA,30354-1989,13121,Fulton County,data/raw/sec_edgar_hq/filing_documents/CIK0000027904/000002790416000029/dal930201610q.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0117,"DELTA AIR LINES, INC.",DAL,2017-02-13,10-K,0000027904-17-000004,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD,ATLANTA,GA,30354-1989,13121,Fulton County,data/raw/sec_edgar_hq/filing_documents/CIK0000027904/000002790417000004/dal1231201610k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0118,"DELTA AIR LINES, INC.",DAL,2026-02-11,10-K,0000027904-26-000013,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD,ATLANTA,GA,30354-1989,13121,Fulton County,data/raw/sec_edgar_hq/filing_documents/CIK0000027904/000002790426000013/dal-20251231.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0120,DEVON ENERGY CORP/DE,DVN,2026-04-21,10-K/A,0001104659-26-046005,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"THREE MEMORIAL CITY PLAZA 840 GESSNER ROAD, SUITE 1400",HOUSTON,TX,77024,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0001090012/000110465926046005/tmb-20251231x10ka.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0325,Data Storage Corp,DTST,2008-09-12,10-Q,0001165527-08-000510,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"244 5TH AVENUE 2ND FL., SUITE 2821",NEW YORK,NY,10001,36061,New York County,data/raw/sec_edgar_hq/filing_documents/CIK0001419951/000116552708000510/g2591.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0138,Dragonfly Energy Holdings Corp.,DFLI,2022-03-29,10-K,0001410578-22-000581,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,12915 OLD VIRGINIA ROAD,"RENO,",NV,89521,32031,Washoe County,data/raw/sec_edgar_hq/filing_documents/CIK0001847986/000141057822000581/cntq-20211231x10k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0471,ENERGY CO OF MINAS GERAIS,CIG,2003-03-26,20-F,0000905148-03-001142,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,C/O SUPER. RELACOES INVESTIDORES - RI 1200 AVENIDA BARBACENA,BELO HORIZONTE,,30190-131,,,data/raw/sec_edgar_hq/filing_documents/CIK0001157557/000090514803001142/efc3-0534_5123062form20f.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0472,ENERGY CO OF MINAS GERAIS,CIG,2003-06-30,20-F,0001047469-03-022824,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,C/O SUPER. RELACOES INVESTIDORES - RI 1200 AVENIDA BARBACENA,BELO HORIZONTE,,30190-131,,,data/raw/sec_edgar_hq/filing_documents/CIK0001157557/000104746903022824/a2114033z20-f.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0473,ENERGY CO OF MINAS GERAIS,CIG,2004-07-01,20-F,0001047469-04-022325,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,C/O SUPER. RELACOES INVESTIDORES - RI 1200 AVENIDA BARBACENA,BELO HORIZONTE,,30190-131,,,data/raw/sec_edgar_hq/filing_documents/CIK0001157557/000104746904022325/a2139629z20-f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0474,ENERGY CO OF MINAS GERAIS,CIG,2026-04-17,20-F,0001554855-26-000648,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,C/O SUPER. RELACOES INVESTIDORES - RI 1200 AVENIDA BARBACENA,BELO HORIZONTE,,30190-131,,,data/raw/sec_edgar_hq/filing_documents/CIK0001157557/000155485526000648/cig-20251231.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0475,ENERGY CO OF PARANA,ELPC,2020-04-27,20-F,0001292814-20-001451,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,RUA JOSE IZIDORO BIAZETTO 158 81200 240 CURITIBA PARANA,FEDERATIVE REPUBLIC,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001041792/000129281420001451/elpform20f_2019.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0476,ENERGY CO OF PARANA,ELPC,2020-11-18,20-F/A,0001292814-20-004427,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,RUA JOSE IZIDORO BIAZETTO 158 81200 240 CURITIBA PARANA,FEDERATIVE REPUBLIC,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001041792/000129281420004427/elpform20f_2019a.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0477,ENERGY CO OF PARANA,ELPC,2020-11-19,20-F/A,0001292814-20-004445,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,RUA JOSE IZIDORO BIAZETTO 158 81200 240 CURITIBA PARANA,FEDERATIVE REPUBLIC,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001041792/000129281420004445/elpform20f_2019a.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0478,ENERGY CO OF PARANA,ELPC,2026-04-16,20-F,0002070979-26-000155,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,RUA JOSE IZIDORO BIAZETTO 158 81200 240 CURITIBA PARANA,FEDERATIVE REPUBLIC,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001041792/000207097926000155/elpc-20251231.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0345,Eagle Nuclear Energy Corp.,NUCL,2026-04-15,10-Q,0001104659-26-043856,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2100 MCKINNEY AVE, SUITE 1675",DALLAS,TX,75201,48113,Dallas County,data/raw/sec_edgar_hq/filing_documents/CIK0002089283/000110465926043856/tmb-20260228x10q.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0348,Eagle Nuclear Energy Corp.,NUCL,2026-04-24,424B3,0001104659-26-048656,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2100 MCKINNEY AVE, SUITE 1675",DALLAS,TX,75201,48113,Dallas County,data/raw/sec_edgar_hq/filing_documents/CIK0002089283/000110465926048656/tm268509-14_424b3.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0157,"Energy Vault Holdings, Inc.",NRGV,2022-02-10,10-K,0001410578-22-000107,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,4165 EAST THOUSAND OAKS BLVD. SUITE 100,WESTLAKE VILLIAGE,CA,91362,06111,Ventura County,data/raw/sec_edgar_hq/filing_documents/CIK0001828536/000141057822000107/nxu-20211231x10k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0479,Enlight Renewable Energy Ltd.,ENLT,2023-03-30,20-F,0001178913-23-001223,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,13 HAAMAL STREET AFEK INDUSTRIAL PARK,ROSH HAAYIN,L3,-,,,data/raw/sec_edgar_hq/filing_documents/CIK0001922641/000117891323001223/zk2329436.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0480,Enlight Renewable Energy Ltd.,ENLT,2024-03-28,20-F,0001178913-24-001125,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,13 HAAMAL STREET AFEK INDUSTRIAL PARK,ROSH HAAYIN,L3,-,,,data/raw/sec_edgar_hq/filing_documents/CIK0001922641/000117891324001125/zk2431157.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0481,Enlight Renewable Energy Ltd.,ENLT,2025-03-28,20-F,0001178913-25-001094,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,13 HAAMAL STREET AFEK INDUSTRIAL PARK,ROSH HAAYIN,L3,-,,,data/raw/sec_edgar_hq/filing_documents/CIK0001922641/000117891325001094/zk2532889.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0482,Enlight Renewable Energy Ltd.,ENLT,2026-03-30,20-F,0001178913-26-001828,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,13 HAAMAL STREET AFEK INDUSTRIAL PARK,ROSH HAAYIN,L3,-,,,data/raw/sec_edgar_hq/filing_documents/CIK0001922641/000117891326001828/zk2634901.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0520,Foremost Clean Energy Ltd.,FMST,2023-05-18,F-1,0001753926-23-000691,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"SUITE 250, 750 W. PENDER STREET",VANCOUVER,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001935418/000175392623000691/g083528_f1.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0521,Foremost Clean Energy Ltd.,FMST,2023-06-06,F-1/A,0001753926-23-000776,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"SUITE 250, 750 W. PENDER STREET",VANCOUVER,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001935418/000175392623000776/g083581_f1.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0483,Foremost Clean Energy Ltd.,FMST,2024-07-01,20-F,0001171843-24-003729,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"SUITE 250, 750 W. PENDER STREET",VANCOUVER,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001935418/000117184324003729/fmst20240331_20f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0484,Foremost Clean Energy Ltd.,FMST,2025-06-20,20-F,0001171843-25-004004,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"SUITE 250, 750 W. PENDER STREET",VANCOUVER,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001935418/000117184325004004/fmst20250331_20f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0182,"Freight Technologies, Inc.",FRGT,2018-05-15,20-F,0001493152-18-007057,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,2001 TIMBERLOCH PLACE SUITE 500,THE WOODLANDS,TX,77380,48339,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001687542/000149315218007057/form20-f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0183,"Freight Technologies, Inc.",FRGT,2019-05-10,20-F,0001493152-19-006824,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,2001 TIMBERLOCH PLACE SUITE 500,THE WOODLANDS,TX,77380,48339,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001687542/000149315219006824/form20-f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0184,"Freight Technologies, Inc.",FRGT,2019-09-11,20-F/A,0001493152-19-013959,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,2001 TIMBERLOCH PLACE SUITE 500,THE WOODLANDS,TX,77380,48339,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001687542/000149315219013959/form20-fa.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0485,Full Truck Alliance Co. Ltd.,YMM,2022-04-25,20-F,0001193125-22-117547,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BUILDING 3, WANBO R&D PARK 20 FENGXIN ROAD, YUHUATAI DISTRICT",NANJING,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001838413/000119312522117547/d495124d20f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0486,Full Truck Alliance Co. Ltd.,YMM,2023-04-19,20-F,0001193125-23-106426,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BUILDING 3, WANBO R&D PARK 20 FENGXIN ROAD, YUHUATAI DISTRICT",NANJING,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001838413/000119312523106426/d425402d20f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0487,Full Truck Alliance Co. Ltd.,YMM,2024-04-15,20-F,0001193125-24-095461,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BUILDING 3, WANBO R&D PARK 20 FENGXIN ROAD, YUHUATAI DISTRICT",NANJING,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001838413/000119312524095461/d569306d20f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0488,Full Truck Alliance Co. Ltd.,YMM,2026-04-14,20-F,0001193125-26-153778,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BUILDING 3, WANBO R&D PARK 20 FENGXIN ROAD, YUHUATAI DISTRICT",NANJING,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001838413/000119312526153778/d20504d20f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0489,G WILLI FOOD INTERNATIONAL LTD,WILC,2002-06-28,20-F,9999999997-02-037405,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,4 NAHAL HARIF STREET,YAVNE,,8122216,,,data/raw/sec_edgar_hq/filing_documents/CIK0001030997/999999999702037405/9999999997-02-037405.paper,
