external_manual_rank,packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_year_key,same_city_review_action,same_city_review_note,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_candidate_confidence,census_attempt_label,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,external_manual_lane,recommended_resolution_method,external_manual_note,geocoder_query,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_score,retry_candidate_confidence,retry_attempt_label,retry_conflicting_candidate_fips,retry_candidate_status,retry_candidate_note,production_model_rank_or_dashboard_change
29,29,400127,ADMIN DE SERVICIOS MEDICOS DE PR,PR,CENTRO MEDICO,SAN JUAN,00922,,2024,cms_county_blank,medium,72127,San Juan Muno,5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,65.0,1632.0,143190592.0,234252304.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.4013,400127__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"CENTRO MEDICO, SAN JUAN, PR, 00922",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
30,30,400015,SAN JUAN MUNICIPAL HOSPITAL,PR,RIO PIEDRAS STATION,SAN JUAN,00928,,2024,cms_county_blank,medium,72127,San Juan Muno,5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,145.0,5355.0,88665795.0,99596842.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.3469,400015__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"RIO PIEDRAS STATION, SAN JUAN, PR, 00928",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
31,31,400098,HOSPITAL SAN FRANCISCO,PR,DE DIEGO AVE. #371,RIO PIEDRAS,00923,RIO PIEDRAS,2023,county_text_unmatched,medium,72127,San Juan Muno,1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,county_fips_unmatched_review_required,139.0,4112.0,36023250.0,44399547.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.3325,400098__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"DE DIEGO AVE. #371, RIO PIEDRAS, PR, 00923",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
32,32,400106,HOSPITAL METROPOLITANO,PR,21 #1785,RIO PIEDRAS,00922,,2023,cms_county_blank,medium,72127,San Juan Muno,1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,132.0,4353.0,33670119.0,49829173.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.3158,400106__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"21 #1785, RIO PIEDRAS, PR, 00922",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
33,33,400022,HOSPITAL DAMAS,PR,2213 PONCE BY PASS,PONCE,00717,,2023,cms_county_blank,medium,72113,Ponce Muno,4,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,128.0,5522.0,66237197.0,62906926.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.3062,400022__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"2213 PONCE BY PASS, PONCE, PR, 00717",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
34,34,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,MA,100 CENTURY DR,WORCESTER,01606,COLES,2023,county_text_unmatched,medium,25027,"Worcester County, Massachusetts",5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,county_fips_unmatched_review_required,120.0,2417.0,29177010.0,35049255.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2871,224045__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"100 CENTURY DR, WORCESTER, MA, 01606",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
35,35,400006,DOCTORS CENTER HOSPITAL SAN JUAN I,PR,1395 SAN RAFAEL ST. PDA. 20,SAN JUAN,00910,,2023,cms_county_blank,medium,72127,San Juan Muno,5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,110.0,5179.0,34502937.0,38065669.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2632,400006__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1395 SAN RAFAEL ST. PDA. 20, SAN JUAN, PR, 00910",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
36,36,450874,BAYLOR SURGICAL HOSPITAL LAS COLINAS,TX,400 W I-635 SUITE 101,IRVING,75063,IRVING,2023,county_text_unmatched,medium,48113,"Dallas County, Texas",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,county_fips_unmatched_review_required,20.0,663.0,52087563.0,79823675.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1367,450874__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"400 W I-635 SUITE 101, IRVING, TX, 75063",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
37,37,403301,UNIVERSITY PEDIATRIC HOSPITAL,PR,PO BOX 191079,SAN JUAN,00910,,2024,cms_county_blank,medium,72127,San Juan Muno,5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,403301__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"PO BOX 191079, SAN JUAN, PR, 00910",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
38,38,050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,512.0,34327.0,1352973476.0,1565207812.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,1.0,050224__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"ONE HOAG DRIVE, NEWPORT BEACH, CA, 92658",06059,"Orange County, California",Match,Non_Exact,"1 HOAG DR, NEWPORT BEACH, CA, 92663",0.75,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
39,39,050367,NORTHBAY HOSPITAL GROUP,CA,1200 B. GALE WILSON BLVD,FAIRFIELD,94533,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,204.0,10160.0,551977988.0,723617346.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,1.0,050367__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1200 B. GALE WILSON BLVD, FAIRFIELD, CA, 94533",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
40,40,390180,CROZER CHESTER MEDICAL CENTER,PA,ONE MEDICAL CENTER BLVD.,UPLAND,19013,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,296.0,10845.0,475820923.0,408878254.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,1.0,390180__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"ONE MEDICAL CENTER BLVD., UPLAND, PA, 19013",42045,"Delaware County, Pennsylvania",Match,Non_Exact,"1 MEDICAL CENTER BLVD, CHESTER, PA, 19013",0.83,0.86,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
41,41,250141,BAPTIST MEM HOSPITAL DESOTO,MS,7601 SOUTHCREST,SOUTHAVEN,38671,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,298.0,19507.0,293398667.0,316449190.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.9196,250141__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"7601 SOUTHCREST, SOUTHAVEN, MS, 38671",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
42,42,220084,EMERSON HOSPITAL,MA,113 ORNC,CONCORD,01742,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,111.0,7115.0,340538577.0,336180825.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.8047,220084__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"113 ORNC, CONCORD, MA, 01742",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
43,43,150015,FRANCISCAN HEALTH MICHIGAN CITY,IN,3500 FRANCISCAN WAY,MICHIGAN CITY,46360,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,133.0,6242.0,300746057.0,350439707.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.7106,150015__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"3500 FRANCISCAN WAY, MICHIGAN CITY, IN, 46360",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
44,44,100189,HCA FLORIDA NORTHWEST HOSPITAL,FL,2801 NORTH STATE ROAD 7,MARGATE,33063,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,289.0,13381.0,213699170.0,297442158.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.6914,100189__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"2801 NORTH STATE ROAD 7, MARGATE, FL, 33063",12011,"Broward County, Florida",Match,Non_Exact,"2801 STATE HWY 7, MARGATE, FL, 33063",0.88,0.86,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
45,45,100269,HCA FLORIDA PALMS WEST HOSPITAL,FL,13001 STATE ROAD 80,LOXAHATCHEE,33470,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,206.0,14571.0,182154912.0,273487723.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.6869,100269__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"13001 STATE ROAD 80, LOXAHATCHEE, FL, 33470",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
46,46,140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,405 W. JACKSON ST.,CARBONDALE,62902,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,175.0,9105.0,288516316.0,376884426.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.6817,140164__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"405 W. JACKSON ST., CARBONDALE, IL, 62902",17077,"Jackson County, Illinois",Match,Non_Exact,"405 W JACKSON ST, CARBONDALE, IL, 62901",0.8,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
47,47,264010,ST. LOUIS FORENSIC TREATMENT CENTER,MO,500 ARSENAL STREET,ST.LOUIS,63119,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,255.0,112.0,78458831.0,40308776.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.61,264010__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"500 ARSENAL STREET, ST.LOUIS, MO, 63119",29510,"St. Louis city, Missouri",Match,Non_Exact,"500 ARSENAL ST, SAINT LOUIS, MO, 63118",0.8,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
48,48,110192,PIEDMONT EASTSIDE MEDICAL CENTER,GA,1700 MEDICAL WAY,SNELLVILLE,30278,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,218.0,10833.0,245351350.0,299108876.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.5797,110192__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1700 MEDICAL WAY, SNELLVILLE, GA, 30278",13135,"Gwinnett County, Georgia",Match,Non_Exact,"1700 MEDICAL WAY, SNELLVILLE, GA, 30078",0.8,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
49,49,100224,HCA FLORIDA WOODMONT HOSPITAL,FL,7201 UNIVERSITY DRIVE,TAMARAC,33321,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,194.0,8460.0,144187760.0,210759019.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.4641,100224__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"7201 UNIVERSITY DRIVE, TAMARAC, FL, 33321",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
50,50,440068,ATHENS REGIONAL MEDICAL CENTER,TN,1114 MADISON AVENUE,ATHENS,37303,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,172.0,1884.0,64985779.0,115320790.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.4115,440068__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1114 MADISON AVENUE, ATHENS, TN, 37303",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
51,51,440194,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,355 NEW SHACKLE ISLAND,HENDERSONVILLE,37215,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,127.0,7879.0,128885998.0,219747348.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.3764,440194__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN, 37215",47165,"Sumner County, Tennessee",Match,Non_Exact,"355 NEW SHACKLE ISLAND RD, HENDERSONVILLE, TN, 37075",0.8,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
52,52,140008,GOTTLIEB MEMORIAL HOSPITAL,IL,8700 WEST NORTH AVENUE,MELROSE PARK,60160,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,135.0,4604.0,136211755.0,132636361.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.323,140008__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"8700 WEST NORTH AVENUE, MELROSE PARK, IL, 60160",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
53,53,054154,SAN JOSE BEHAVIORAL HEALTH,CA,455 SILICON VALLEY BLVD,SANN JOSE,95138,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,133.0,3306.0,39446662.0,58931789.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.3182,054154__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"455 SILICON VALLEY BLVD, SANN JOSE, CA, 95138",06085,"Santa Clara County, California",Match,Non_Exact,"455 SILICON VALLEY BLVD, SAN JOSE, CA, 95138",0.88,0.86,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
54,54,110023,ADVENTHEALTH GORDON,GA,1035 RED BUD ROAD,CALHOUN,30703,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,69.0,4320.0,128157314.0,,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.3028,110023__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1035 RED BUD ROAD, CALHOUN, GA, 30703",13129,"Gordon County, Georgia",Match,Non_Exact,"1035 RED BUD RD NE, CALHOUN, GA, 30701",0.8,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
55,55,460013,MOUNTAIN VIEW HOSPITAL,UT,1000 EAST 100 NORTH,PAYSON,84651,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,119.0,2991.0,62087942.0,84244464.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.2847,460013__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1000 EAST 100 NORTH, PAYSON, UT, 84651",49049,"Utah County, Utah",Match,Non_Exact,"1000 E 100 S, PAYSON, UT, 84651",0.88,0.86,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
56,56,230193,MCLAREN LAPEER REGION,MI,1375 NORTH MAIN STREET,LAPEER,48436,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,92.0,4845.0,111398623.0,132203736.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.2632,230193__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1375 NORTH MAIN STREET, LAPEER, MI, 48436",26087,"Lapeer County, Michigan",Match,Non_Exact,"1375 N MAIN ST, LAPEER, MI, 48446",0.8,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
57,57,440065,NORTHCREST MEDICAL CENTER,TN,100 NORTHCREST DRIVE,SPRINGFIELD,37172,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,109.0,3525.0,61144416.0,71593175.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.2608,440065__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"100 NORTHCREST DRIVE, SPRINGFIELD, TN, 37172",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
58,58,450587,HENDRICK MEDICAL CENTER BROWNWOOD,TX,1501 BURNET DRIVE,BROWNWOOD,76804,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,63.0,3707.0,108659516.0,126565337.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.2568,450587__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1501 BURNET DRIVE, BROWNWOOD, TX, 76804",48049,"Brown County, Texas",Match,Non_Exact,"1501 BURNEY DR, BROWNWOOD, TX, 76801",0.8,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
59,59,190014,OCHSNER ST. MARY,LA,1125 MARGUERITE STREET,MORGAN CITY,70308,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,105.0,919.0,38954751.0,36229926.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.2512,190014__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1125 MARGUERITE STREET, MORGAN CITY, LA, 70308",22101,"St. Mary Parish, Louisiana",Match,Non_Exact,"1125 MARGUERITE ST, MORGAN CITY, LA, 70380",0.8,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
60,60,194114,RIVER PLACE BEHAVIORAL HEALTH,LA,500 RUE DE SANTE,LAPLACE,70068,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,104.0,3518.0,17151469.0,22368871.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.2488,194114__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"500 RUE DE SANTE, LAPLACE, LA, 70068",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
61,61,110128,MEADOWS REGIONAL MEDICAL CENTER,GA,1 MEADOWS PARKWAY,VIDALIA,30474,,2024,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,57.0,4995.0,80851297.0,126546297.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.2355,110128__2024,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"1 MEADOWS PARKWAY, VIDALIA, GA, 30474",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
62,62,061317,GRAND RIVER HOSPITAL DISTRICT,CO,501 AIRPORT ROAD,RIFLE,81650,,2023,cms_county_blank,high,,,0,external_geocode_required,0.0,use provider street_address/city/state/zip with an approved geocoder or manual county review,cms_county_missing_provider_geocode_review_required,25.0,500.0,99266247.0,89779430.0,external_geocode_required,No conservative local county candidate; use approved geocoder or manual county review.,0.2346,061317__2023,,,,,,,,,,,,,,external_geocoder_required_no_local_candidate,approved_external_provider_geocoder,No conservative local county candidate exists; route through an approved street-address geocoder or manual county review.,"501 AIRPORT ROAD, RIFLE, CO, 81650",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
